what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.close,1229108359312
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1229108364859
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1229108364890
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1229108364890
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1229108365171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108393015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108402000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108409125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108409140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108409203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108421265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108424250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108515750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108525203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108625203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108625703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108626703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108653406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108656531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108944390
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1229108948234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108950015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108950031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108954390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108954812
