what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229110742046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110743109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110743109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110743187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110747343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110749484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110768765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110768843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110769812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110771937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110773546
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110773625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110775546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110783437
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229110787359
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1229110788453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110789906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110896156
activated,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229110898062
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1229110899500
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110901625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1229110915265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1229110917265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1229110926281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1229110927687
